iter	Passed	Remaining
1614	245734	210738
1615	245966	210654
1616	246214	210584
1617	246431	210487
1618	246676	210413
1619	246894	210317
1620	247127	210234
1621	247355	210145
1622	247602	210072
1623	247863	210012
1624	248109	209939
1625	248306	209823
1626	248499	209704
1627	248714	209604
1628	248880	209463
1629	249065	209337
1630	249267	209225
1631	249456	209103
1632	249627	208965
1633	249811	208838
1634	250000	208716
1635	250215	208614
1636	250467	208544
1637	250688	208447
1638	250862	208312
1639	251087	208218
1640	251253	208076
1641	251467	207973
1642	251651	207845
1643	251898	207770
1644	252073	207634
1645	252291	207534
1646	252497	207425
1647	252697	207310
1648	252904	207200
1649	253123	207101
1650	253329	206990
1651	253531	206876
1652	253737	206766
1653	253929	206643
1654	254100	206504
1655	254272	206366
1656	254458	206238
1657	254616	206088
1658	254812	205969
1659	254992	205837
